size_code,season,avg_set_price_rub
175/65 R14,summer,11300
175/65 R14,winter,13000
185/60 R15,summer,15300
185/60 R15,winter,17600
185/65 R15,summer,15300
185/65 R15,winter,17600
195/55 R16,summer,21300
195/55 R16,winter,24500
205/55 R16,summer,21700
205/55 R16,winter,25000
215/65 R16,summer,22000
215/65 R16,winter,25300
225/35 R20,summer,79200
225/35 R20,winter,91100
225/45 R17,summer,32500
225/45 R17,winter,37400
225/45 R18,summer,44700
225/45 R18,winter,51400
225/50 R17,summer,32500
225/50 R17,winter,37400
225/55 R17,summer,32500
225/55 R17,winter,37400
225/60 R17,summer,32500
225/60 R17,winter,37400
235/35 R19,summer,59700
235/35 R19,winter,68700
235/35 R20,summer,80300
235/35 R20,winter,92300
235/55 R18,summer,45300
235/55 R18,winter,52100
235/55 R19,summer,59700
235/55 R19,winter,68700
245/30 R20,summer,81500
245/30 R20,winter,93700
245/35 R19,summer,60600
245/35 R19,winter,69700
245/35 R20,summer,81500
245/35 R20,winter,93700
245/40 R18,summer,46000
245/40 R18,winter,52900
245/40 R20,summer,81500
245/40 R20,winter,93700
245/45 R18,summer,46000
245/45 R18,winter,52900
245/45 R20,summer,81500
245/45 R20,winter,93700
245/65 R17,summer,33400
245/65 R17,winter,38400
245/70 R16,summer,23000
245/70 R16,winter,26400
255/30 R20,summer,82700
255/30 R20,winter,95100
255/35 R20,summer,82700
255/35 R20,winter,95100
255/40 R18,summer,46600
255/40 R18,winter,53600
255/40 R20,summer,82700
255/40 R20,winter,95100
255/40 R22,summer,137800
255/40 R22,winter,158500
255/40 R23,summer,174900
255/40 R23,winter,201100
255/45 R20,summer,82700
255/45 R20,winter,95100
255/45 R21,summer,106000
255/45 R21,winter,121900
255/50 R19,summer,61500
255/50 R19,winter,70700
265/35 R19,summer,62400
265/35 R19,winter,71800
265/35 R20,summer,83800
265/35 R20,winter,96400
265/35 R21,summer,107500
265/35 R21,winter,123600
265/50 R21,summer,107500
265/50 R21,winter,123600
265/60 R18,summer,47300
265/60 R18,winter,54400
265/65 R18,summer,47300
265/65 R18,winter,54400
275/30 R20,summer,85000
275/30 R20,winter,97700
275/35 R19,summer,63200
275/35 R19,winter,72700
275/35 R20,summer,85000
275/35 R20,winter,97700
275/35 R21,summer,109000
275/35 R21,winter,125300
275/40 R20,summer,85000
275/40 R20,winter,97700
275/40 R21,summer,109000
275/40 R21,winter,125300
285/30 R20,summer,86200
285/30 R20,winter,99100
285/30 R22,summer,143600
285/30 R22,winter,165100
285/35 R20,summer,86200
285/35 R20,winter,99100
285/40 R20,summer,86200
285/40 R20,winter,99100
285/40 R21,summer,110500
285/40 R21,winter,127100
285/40 R22,summer,143600
285/40 R22,winter,165100
285/55 R20,summer,86200
285/55 R20,winter,99100
295/30 R20,summer,87400
295/30 R20,winter,100500
295/30 R21,summer,112000
295/30 R21,winter,128800
295/35 R19,summer,65000
295/35 R19,winter,74800
295/35 R20,summer,87400
295/35 R20,winter,100500
295/35 R23,summer,184800
295/35 R23,winter,212500
295/45 R21,summer,112000
295/45 R21,winter,128800
305/30 R20,summer,88500
305/30 R20,winter,101800
305/30 R21,summer,113500
305/30 R21,winter,130500
305/35 R20,summer,88500
305/35 R20,winter,101800
315/30 R20,summer,89700
315/30 R20,winter,103200
315/35 R20,summer,89700
315/35 R20,winter,103200
315/35 R21,summer,115000
315/35 R21,winter,132200
315/35 R23,summer,189700
315/35 R23,winter,218200
325/35 R22,summer,151400
325/35 R22,winter,174100
345/30 R21,summer,119500
345/30 R21,winter,137400
355/25 R21,summer,121000
355/25 R21,winter,139200
