case_id,description,budget_rub,region_id,mileage_per_year_km,horizon_years,weight_preset,preferred_segments,allowed_fuel_types,allowed_transmissions,allowed_body_types,min_seats,min_power_hp,min_clearance_mm,min_cargo_volume_l,ground_truth_top3,ground_truth_acceptable,source_note
1,Студент-городской бюджет 1.5М,1500000,1,12000,5,student,"A,B",,,,,,,,"Lada/Granta;Lada/Vesta;Hyundai/Solaris","Lada/Iskra;Lada/Aura;Lada/Kalina;Lada/Priora;Kia/Rio;Kia/Picanto;Hyundai/Accent;Renault/Logan;Renault/Sandero;Daewoo/Nexia;Datsun/on-DO;Datsun/mi-DO","студент в городе: дёшево купить, дёшево содержать"
2,Семья 4 чел С-класс mass,2500000,19,15000,5,family,"C,D",,,"sedan,liftback,wagon",4,,,,"Skoda/Octavia;Volkswagen/Polo;Hyundai/Sonata","Toyota/Camry;Hyundai/Elantra;Kia/Cerato;Kia/K5;Mazda/3;Mazda/6;Honda/Accord;Honda/Civic;Ford/Mondeo;Ford/Focus","семья с детьми: вместительный, надёжный, не премиум"
3,Семья + дача кроссовер,3500000,33,18000,5,balanced,"J_CROSS",,,"crossover,suv",5,120,170,400,"Hyundai/Tucson;Toyota/RAV4;Kia/Sportage","Geely/Coolray;Geely/Atlas;Chery/Tiggo 7 Pro;Chery/Tiggo 8 Pro;Haval/Jolion;Haval/F7;Renault/Duster;Renault/Kaptur;Renault/Arkana;Mazda/CX-5;Honda/CR-V;Hyundai/Creta;Hyundai/Santa Fe;Nissan/Qashqai;AITO/M5;AITO/M7;AITO/M9;LIXIANG/L7;LIXIANG/L8;LIXIANG/L9;Voyah/Free;BYD/Tang","семья + дача: универсальный кроссовер с клиренсом"
4,Премиум седан Е,8000000,1,15000,5,premium,"E",,,"sedan,liftback,wagon",4,200,,,"BMW/5 Series;Mercedes-Benz/E-Class;Audi/A6","Lexus/ES;Genesis/G80;BMW/6 Series;Volvo/S90;Volvo/V90;Audi/A7;Mercedes-Benz/CLS;Voyah/Passion;BYD/Han;Kia/Stinger;Avatr/12;NIO/ET7;Porsche/Taycan;Zeekr/001","премиум-седан, представительский, мощный"
5,Премиум SUV J_CROSS,12000000,1,15000,5,premium,"J_CROSS",,,"crossover,suv",5,200,170,450,"BMW/X5;Mercedes-Benz/GLE;Audi/Q7","Mercedes-Benz/GLS;BMW/X7;BMW/X6;BMW/X3;Porsche/Cayenne;Audi/Q8;Volvo/XC90;AITO/M9;LIXIANG/L9;Voyah/Free;Voyah/Courage;NIO/ES8;Avatr/11;BYD/Tang;HiPhi/X;Tesla/Model Y;Tesla/Model X;BMW/iX","премиум-кроссовер: мощный, престижный, вместительный"
6,Off-road рамный SUV,5000000,60,25000,5,balanced,"J_SUV",,,"suv",5,150,200,400,"Toyota/Land Cruiser Prado;Mitsubishi/Pajero Sport;Lada/Niva Legend","Mitsubishi/Pajero;UAZ/Patriot;Toyota/Land Cruiser;Jeep/Wrangler;Jeep/Grand Cherokee;Haval/H9;Lada/Niva Travel;Chevrolet/Niva;Isuzu/MU-X","рамный внедорожник: бездорожье, охота, рыбалка"
7,Минивэн 7+ мест,4000000,48,15000,5,family,"M_MPV,J_CROSS",,,"mpv,crossover,suv",7,,,500,"Hyundai/Staria;Kia/Carnival;Volkswagen/Multivan","Mercedes-Benz/V-Class;Hyundai/Santa Fe;Kia/Mohave;Lada/Largus;GAC/GN8;Honda/Odyssey;Volvo/XC90;BMW/X7;Mercedes-Benz/GLS;LIXIANG/L9;AITO/M9;Voyah/Dream;Toyota/Highlander","большая семья 7+ мест"
8,Студент-китаист бюджетный кроссовер,2500000,63,15000,5,balanced,"J_CROSS",,,"crossover,suv",4,100,160,300,"Geely/Coolray;Chery/Tiggo 7 Pro;Haval/Jolion","Changan/CS35 Plus;Geely/Atlas;Chery/Tiggo 4;Chery/Tiggo 8 Pro;Haval/F7;Haval/M6;Renault/Duster;Renault/Kaptur;Renault/Arkana;Hyundai/Creta;Lada/X-Ray;Lada/Niva Travel;BAIC/X35;BAIC/X55;Nissan/Qashqai;Lifan/X60","китайский кроссовер для студента: бюджетный, гарантия, новый"
9,Pickup для бизнеса,5500000,45,30000,5,business,"LCV",,,"pickup",4,150,200,800,"Toyota/Hilux;Mitsubishi/L200;UAZ/Pickup","Great Wall/Wingle;Great Wall/Poer;Isuzu/D-Max;UAZ/Profi;JAC/T6;JAC/T9;Sollers/Argo;Dodge/RAM 1500","коммерческий пикап для перевозки грузов"
10,Корпоративный седан C/D,3000000,1,20000,5,business,"C,D",,,"sedan",4,150,,,"Toyota/Camry;Skoda/Octavia;Hyundai/Sonata","Kia/K5;Hyundai/Elantra;Mazda/6;Honda/Accord;Toyota/Corolla;Ford/Mondeo;Hongqi/H5;Geely/Preface;Chery/Arrizo 8","корпоративный седан: надёжный, представительный"
