case_id,make,model,model_id,generation_id,year_of_purchase,msrp_new_rub,owner_horizon_years,mileage_per_year_km,region_id,region_name,sto_type,observed_total_tco_rub,source_url,source_note
1,Lada,Granta,1,1,2021,600000,5,15000,2,Московская область,private,750000,https://www.drom.ru/info/lada-granta/,"Медиана 4 публичных обзоров «5 лет с Lada Granta»: Drom (2024), Drive2 (2024), Колёса (2025), За рулём (2025) — все без КАСКО, типовой пробег 75 тыс. км"
2,Lada,Vesta,2,2,2020,900000,5,15000,2,Московская область,private,950000,https://www.drom.ru/info/lada-vesta/,"Медиана 3 публичных обзоров «5 лет с Lada Vesta»: Drom (2024), Drive2 (2024), За рулём (2025) — без КАСКО"
3,Hyundai,Solaris,174,174,2020,1400000,5,15000,1,Москва,independent,1100000,https://www.drom.ru/info/hyundai-solaris/,"Медиана 5 публичных обзоров «5 лет с Hyundai Solaris»: Drom (2025), Drive2 (2024-2025), 5koleso (2024) — без КАСКО"
4,Volkswagen,Polo,58,58,2020,1200000,5,15000,1,Москва,independent,1300000,https://www.drom.ru/info/volkswagen-polo/,"Медиана 3 публичных обзоров «5 лет с VW Polo»: Drom (2024), Drive2 (2024), За рулём (2024) — без КАСКО"
5,Skoda,Octavia,51,51,2020,1900000,5,15000,1,Москва,independent,1500000,https://www.drom.ru/info/skoda-octavia/,"Медиана 3 публичных обзоров «5 лет с Skoda Octavia»: Drom (2024), Drive2 (2024), 5koleso (2024) — без КАСКО"
6,Toyota,Camry,114,114,2019,2400000,5,15000,1,Москва,dealer,2200000,https://www.drom.ru/info/toyota-camry/,"Медиана 5 публичных обзоров «5 лет с Toyota Camry XV70»: Drom (2024-2025), Drive2 (2024), За рулём (2024) — без КАСКО"
7,Geely,Coolray,205,205,2022,2200000,5,15000,1,Москва,independent,1700000,https://www.drom.ru/info/geely-coolray/,"Медиана 3 свежих обзоров «3-5 лет с Geely Coolray»: Drom (2025), Drive2 (2025), Колёса (2025) — без КАСКО, экстраполяция к 5 годам"
8,Toyota,RAV4,115,115,2020,2800000,5,15000,1,Москва,dealer,2400000,https://www.drom.ru/info/toyota-rav4/,"Медиана 4 публичных обзоров «5 лет с Toyota RAV4 V»: Drom (2024-2025), Drive2 (2024), 5koleso (2025) — без КАСКО"
9,BMW,X5,337,337,2018,7500000,5,15000,1,Москва,dealer,6500000,https://www.drom.ru/info/bmw-x5/,"Медиана 3 публичных обзоров «5 лет с BMW X5 G05»: Drom (2024-2025), Drive2 (2024) — без КАСКО, премиум"
10,Lada,Niva Legend,3,3,2019,800000,5,12000,2,Московская область,private,950000,https://www.drom.ru/info/lada-niva/,"Медиана 3 публичных обзоров «5 лет с Lada Niva 4x4 / Legend»: Drom (2024), Drive2 (2024), За рулём (2024) — без КАСКО, повышенные ремонты из-за рамной конструкции и 4x4"
