segment,body_type,seats,length_mm,width_mm,height_mm,curb_weight_kg,cargo_volume_l,body_clearance_mm,city_factor,highway_factor,source_note
A,hatchback,4,3700,1650,1500,1000,200,140,1.20,0.85,"Median spec of A-class hatchbacks 2018-2024 (Hyundai i10, Kia Picanto, Mitsubishi Mirage)"
A,sedan,4,4100,1690,1490,1100,400,140,1.20,0.85,"Rare A-sedan; medians of Daewoo Matiz/Smart Forfour-style + small adjustments"
B,hatchback,5,4100,1730,1490,1150,300,150,1.20,0.85,"Median: Hyundai Solaris hb, Kia Rio hb, Skoda Fabia, VW Polo hb (Wikipedia 2020-2024)"
B,sedan,5,4400,1730,1490,1200,470,150,1.22,0.85,"Median: Hyundai Solaris sd, Kia Rio sd, Lada Vesta, VW Polo sd, Renault Logan"
C,hatchback,5,4300,1810,1450,1300,380,145,1.20,0.85,"Median: VW Golf, Skoda Rapid hb, Toyota Corolla hb, Mazda 3 hb"
C,sedan,5,4650,1810,1450,1350,500,145,1.22,0.85,"Median: VW Jetta, Toyota Corolla sd, Hyundai Elantra, Skoda Rapid sd, Mazda 3 sd"
C,liftback,5,4670,1810,1450,1350,560,145,1.22,0.85,"Median: Skoda Octavia liftback (most common C-liftback on RU market)"
D,sedan,5,4900,1850,1470,1500,530,145,1.25,0.83,"Median: Toyota Camry, Hyundai Sonata, Mazda 6, VW Passat, Skoda Superb"
D,wagon,5,4900,1850,1500,1550,600,145,1.25,0.83,"Median: VW Passat Variant, Skoda Superb Combi, Mercedes E-class T-Modell"
E,sedan,5,5050,1880,1480,1700,530,140,1.27,0.82,"Median: BMW 5 Series, Mercedes E-class, Audi A6, Lexus ES, Genesis G80"
F,sedan,5,5300,1900,1490,1900,540,140,1.30,0.80,"Median: BMW 7 Series, Mercedes S-class, Audi A8, Lexus LS, Genesis G90"
J_CROSS,crossover,5,4500,1830,1660,1500,480,180,1.30,0.85,"Median: Hyundai Tucson, Kia Sportage, Toyota RAV4, VW Tiguan, Chery Tiggo 7 Pro, Geely Atlas, Haval F7"
J_SUV,suv,5,4900,1920,1830,2200,720,220,1.35,0.82,"Median: Toyota Land Cruiser Prado, Mitsubishi Pajero Sport, Hyundai Palisade, BMW X5, Mercedes GLE"
LCV,pickup,5,5300,1900,1850,2100,1100,220,1.35,0.85,"Median: Toyota Hilux, Mitsubishi L200, Ford Ranger, UAZ Pickup, Great Wall Wingle"
M_MPV,mpv,7,4800,1850,1750,1750,1500,165,1.30,0.85,"Median: Lada Largus, Renault Logan MCV, Citroen Berlingo passenger, Kia Carnival"
S_SPORT,coupe,4,4400,1850,1380,1500,280,130,1.20,0.80,"Median: BMW M2/M4 coupe, Audi RS5, Mercedes C-class coupe, Porsche 718, Toyota GR Supra"
S_SPORT,cabriolet,2,4250,1830,1280,1450,280,130,1.20,0.80,"Same as S_SPORT coupe with adjustments for soft top (Mazda MX-5, Porsche 718 Boxster, Audi TT roadster)"
J_SUV,coupe,5,4850,1980,1680,2150,520,200,1.35,0.82,"SUV coupe (BMW X6, Mercedes GLE Coupe, Audi Q8) — same SUV but lower roof + smaller cargo"
J_CROSS,coupe,5,4500,1830,1610,1480,440,180,1.30,0.85,"Crossover coupe (Toyota CHR, Geely Coolray) — same crossover but lower roof"
